pet_id,issue_date,listing_date,condition,color_type,length(m),height(cm),X1,X2,breed_category,pet_category
ANSL_59284,31-03-2016 00:00,21-04-2017 17:52,0,Tricolor,0.13,6.35,0,1,1,2
ANSL_65136,21-05-2016 00:00,15-06-2017 16:24,1,Black,0.4,48.52,0,1,0,2
ANSL_66643,23-09-2007 00:00,13-04-2017 18:38,1,Black,0.1,8.93,0,7,0,2
ANSL_66677,25-06-2013 00:00,20-07-2016 18:57,0,Brown Tabby,0.1,28.95,0,1,1,1
ANSL_60745,11-08-2018 00:00,10-03-2019 16:35,1,Tan,0.41,23.45,13,9,0,2
ANSL_66303,20-11-2018 00:00,12-03-2019 13:46,1,Gray Tabby,0.94,28.6,0,1,0,1
ANSL_67865,04-05-2014 00:00,25-09-2018 17:27,0,Blue,0.22,15.18,7,1,1,1
ANSL_67103,24-03-2013 00:00,09-09-2016 14:55,1,Blue Merle,0.34,37.16,0,7,0,2
ANSL_58995,24-02-2018 00:00,21-11-2018 13:41,0,Brown Tabby,0.88,18.12,17,9,1,1
ANSL_68519,19-07-2016 00:00,20-08-2018 00:00,1,Blue,0.06,12.3,17,9,0,1
ANSL_61930,21-06-2016 00:00,26-05-2017 00:00,1,Red,0.12,6.11,13,9,0,2
ANSL_60522,21-09-2016 00:00,08-12-2016 18:13,0,Brown Tabby,0.32,28.45,0,1,1,1
ANSL_58002,09-09-2015 00:00,15-10-2017 17:54,2,White,0.84,23.15,0,1,1,2
ANSL_70461,10-09-2013 00:00,08-10-2017 11:34,2,White,0.01,43.76,13,9,1,2
ANSL_72450,01-07-2016 00:00,22-07-2017 08:45,,Gray,0.9,32.69,15,4,2,4
ANSL_64922,21-12-2015 00:00,18-01-2017 16:26,0,Tan,0.76,29.5,13,9,1,2
ANSL_50674,03-07-2017 00:00,09-10-2017 12:23,0,Black,0.32,12.3,0,1,1,1
ANSL_59047,10-09-2009 00:00,11-01-2018 14:26,2,Tan,0.05,37.07,0,7,0,2
ANSL_71900,10-06-2017 00:00,19-09-2017 19:02,0,Tan,0.51,7.09,0,1,1,2
ANSL_74705,17-07-2018 00:00,10-02-2019 00:00,2,White,0.34,5.44,13,9,0,0
ANSL_55100,15-11-2008 00:00,28-01-2017 17:08,0,Tortie,0.81,48.17,0,1,1,1
ANSL_75089,14-08-2018 00:00,08-10-2018 18:13,2,Calico,0.19,36.96,13,9,1,1
ANSL_70787,11-02-2017 00:00,31-03-2019 13:25,1,Brown,0.21,43.37,13,9,0,2
ANSL_66913,09-07-2016 00:00,03-10-2016 17:39,0,Calico,0.57,8.64,0,1,1,1
ANSL_60393,22-12-2015 00:00,12-01-2017 16:34,,Brown,0.37,24.22,15,4,2,4
ANSL_55086,22-10-2017 00:00,09-12-2018 17:03,0,Chocolate,0.02,20.81,0,1,1,2
ANSL_66011,25-06-2016 00:00,20-07-2017 18:06,0,Yellow,0.59,37.53,0,1,1,2
ANSL_52576,06-06-2017 00:00,04-10-2017 18:25,1,Gray Tabby,0.03,49.88,0,1,0,1
ANSL_61674,23-06-2016 00:00,05-10-2016 18:29,0,Black,0.44,12.85,0,1,1,2
ANSL_58748,10-09-2015 00:00,11-10-2016 12:00,2,White,0.65,26.4,13,9,1,1
ANSL_69810,06-04-2017 00:00,28-06-2018 13:35,2,Brown,0.68,43.52,0,7,0,2
ANSL_64609,18-11-2016 00:00,10-12-2016 16:25,,Gray Tabby,0.34,31.11,13,9,2,1
ANSL_56894,09-11-2015 00:00,22-08-2017 12:28,1,Blue,0.9,35.32,0,1,0,2
ANSL_51861,13-10-2017 00:00,02-01-2018 10:07,2,Black,0.63,34.33,13,9,0,2
ANSL_67215,20-07-2016 00:00,12-10-2016 17:52,0,Tan,0.32,12.24,0,1,1,2
ANSL_58159,12-10-2018 00:00,13-01-2019 15:46,0,Tortie,0.91,27,0,1,1,1
ANSL_64253,08-12-2015 00:00,28-12-2016 17:23,,Black,0.38,45.03,15,4,2,4
ANSL_74162,02-01-2018 00:00,29-03-2019 14:48,0,Black,0.53,26.03,0,1,1,2
ANSL_57495,12-03-2016 00:00,02-10-2016 12:02,,Black,0.27,27.08,15,4,2,4
ANSL_72445,27-11-2009 00:00,03-08-2016 13:43,1,Brown,0.66,45.33,0,7,0,2
ANSL_71396,14-01-2018 00:00,04-02-2019 18:19,0,Tricolor,0.92,5.67,0,7,1,2
ANSL_65357,14-05-2010 00:00,25-10-2018 08:28,1,Brown,0.83,41.21,7,1,0,2
ANSL_64487,24-11-2016 00:00,14-01-2019 13:59,2,Brown,0.21,29.87,13,9,1,2
ANSL_64225,20-11-2015 00:00,11-03-2018 17:26,0,White,0.4,38.77,13,9,1,1
ANSL_64406,11-09-2017 00:00,30-11-2018 15:34,0,Brown Brindle,0.8,42.73,0,1,1,2
ANSL_57267,20-06-2010 00:00,12-03-2017 19:57,1,Orange Tabby,0.32,11.53,7,1,0,1
ANSL_73621,11-07-2018 00:00,06-10-2018 11:50,1,White,0.55,44.42,0,1,0,1
ANSL_76139,02-10-2017 00:00,24-04-2019 15:50,2,Sable,0.37,30.51,13,9,1,2
ANSL_68080,25-09-2010 00:00,17-08-2017 11:53,1,Fawn,0.73,5.94,0,1,0,2
ANSL_71095,18-02-2013 00:00,15-03-2019 08:56,0,Blue Tabby,0.24,19.17,18,4,1,1
ANSL_58051,19-09-2002 00:00,14-09-2018 13:34,1,Tan,0.09,28.87,0,7,0,2
ANSL_51703,01-05-2017 00:00,22-05-2018 09:00,2,Calico,0.63,10.24,16,9,1,1
ANSL_59352,21-06-2012 00:00,12-07-2017 11:05,0,Tan,0.18,24.37,0,7,1,2
ANSL_59456,10-08-2013 00:00,09-09-2016 19:17,1,Gray,0.95,31.01,12,1,0,2
ANSL_75463,01-12-2016 00:00,09-04-2019 21:25,1,Blue,0.15,49.93,0,1,0,1
ANSL_51341,15-07-2015 00:00,04-08-2018 12:16,1,Gray,0.16,9.06,0,7,0,2
ANSL_71351,18-12-2015 00:00,10-09-2016 19:18,1,White,0.44,26.28,0,1,0,2
ANSL_60663,03-04-2013 00:00,29-04-2017 12:45,1,Brown Tabby,0.83,32.95,13,9,0,1
ANSL_63519,20-04-2016 00:00,01-08-2016 17:04,1,Black,0.18,15.61,0,1,0,1
ANSL_64787,03-09-2014 00:00,25-09-2016 09:00,2,Calico,0.82,8.33,16,9,1,1
ANSL_52804,17-09-2017 00:00,09-10-2018 08:55,,Brown,0.09,46.32,15,4,2,4
ANSL_69296,16-09-2016 00:00,12-12-2016 18:36,1,Brown Tabby,0.26,37.48,0,1,0,1
ANSL_64927,06-08-2015 00:00,28-08-2016 09:52,2,Black,0.93,46.67,15,4,1,4
ANSL_66874,24-07-2016 00:00,08-11-2016 09:00,1,Orange Tabby,0.54,11.58,16,9,0,1
ANSL_73514,03-11-2018 00:00,01-12-2018 18:49,,Gray Tabby,0.58,23.79,13,9,2,1
ANSL_59962,25-12-2016 00:00,16-01-2018 08:06,,Black,0.76,45.6,11,4,2,4
ANSL_61606,18-08-2016 00:00,12-10-2018 18:55,0,Red,0.25,35.08,0,1,1,2
ANSL_59453,04-06-2014 00:00,02-07-2018 13:16,1,White,0.23,26.51,0,1,0,2
ANSL_73259,20-08-2018 00:00,09-11-2018 22:46,0,Blue Tabby,0.54,37.39,0,1,1,1
ANSL_62038,03-10-2017 00:00,14-02-2018 12:42,0,Tortie,0.66,34.07,0,1,1,1
ANSL_62580,14-11-2016 00:00,13-12-2018 16:10,0,Tortie,0.84,44.53,0,1,1,1
ANSL_61203,28-07-2016 00:00,22-08-2017 18:27,1,Black,0.87,24.08,0,1,0,2
ANSL_58628,15-08-2014 00:00,10-09-2018 00:00,1,Orange Tabby,0.11,12.4,17,9,0,1
ANSL_56587,05-08-2017 00:00,02-03-2018 19:06,1,Black,0.67,17.29,0,1,0,2
ANSL_70532,31-08-2018 00:00,18-12-2018 17:14,0,Brown Tabby,0.77,37.13,0,1,1,1
ANSL_57689,08-02-2016 00:00,01-03-2018 18:22,2,Black,0.01,27.66,0,7,1,2
ANSL_51272,03-07-2015 00:00,28-07-2017 18:25,1,White,0.49,7.16,0,1,0,2
ANSL_62984,11-06-2015 00:00,18-01-2018 17:20,1,Brown,0.2,12.96,0,1,0,2
ANSL_61706,15-08-2018 00:00,07-10-2018 15:07,2,White,0.98,23.14,13,9,0,1
ANSL_52029,16-06-2015 00:00,16-07-2017 00:00,2,Brown,0.62,13.31,13,9,0,2
ANSL_70648,12-01-2015 00:00,06-02-2017 13:54,1,Black,0.29,21.81,13,9,0,2
ANSL_57755,19-08-2013 00:00,10-09-2016 14:19,1,Tan,0.05,21.29,0,7,0,2
ANSL_57866,22-02-2017 00:00,16-03-2018 17:55,0,Red,0.74,19.19,0,1,1,2
ANSL_65187,08-05-2018 00:00,11-03-2019 17:08,1,White,0.76,25.5,0,1,0,2
ANSL_54849,01-10-2018 00:00,27-10-2018 17:34,,Tortie,0.13,8.27,13,9,2,1
ANSL_69144,29-05-2016 00:00,25-10-2016 17:41,1,Black,0.62,41.91,0,1,0,2
ANSL_70053,19-04-2014 00:00,12-04-2017 15:51,2,Black,0.21,33.35,13,9,1,2
ANSL_58408,09-06-2017 00:00,25-08-2017 00:00,2,Black,0.13,35.76,13,9,0,2
ANSL_75716,12-03-2018 00:00,15-04-2019 00:00,2,Blue,0.95,40.54,13,9,0,2
ANSL_69051,08-07-2018 00:00,22-10-2018 18:27,1,Orange Tabby,0.05,18.77,17,9,0,1
ANSL_73804,14-09-2016 00:00,07-10-2018 17:39,2,Brown,0.02,45.32,0,7,1,2
ANSL_56163,28-01-2016 00:00,19-02-2018 00:00,1,Black,0.31,20.32,0,7,0,2
ANSL_70782,10-12-2016 00:00,17-02-2017 09:22,2,Calico,0.3,21.33,9,2,1,1
ANSL_53955,15-05-2015 00:00,01-07-2017 17:38,1,White,0.23,49.26,0,1,0,2
ANSL_76544,14-10-2017 00:00,05-05-2019 15:35,2,Black,0.06,15.45,0,7,1,2
ANSL_52589,14-03-2017 00:00,26-08-2017 16:52,1,Black,0.83,40.52,13,9,0,2
ANSL_74586,27-10-2017 00:00,10-03-2018 22:39,1,Black,0.52,11.1,0,1,0,1
ANSL_52081,10-07-2016 00:00,06-08-2017 10:58,1,Lynx Point,0.39,34.31,16,9,0,1
ANSL_52155,25-05-2017 00:00,21-06-2018 14:07,1,Tan,0.49,37.27,0,1,0,2
ANSL_72107,15-05-2017 00:00,02-03-2018 17:00,0,Brown,0.86,41.47,0,1,1,2
ANSL_73931,18-11-2015 00:00,10-12-2016 08:56,,Gray,0.93,26.12,15,4,2,4
ANSL_50877,21-10-2016 00:00,16-04-2017 10:36,2,Black,0.2,20.9,13,9,0,2
ANSL_54844,22-12-2016 00:00,16-01-2018 18:31,0,Brown,0.24,39.25,0,1,1,2
ANSL_71588,03-10-2015 00:00,25-04-2017 17:53,0,Tricolor,0.04,17.81,0,7,1,2
ANSL_59867,17-09-2016 00:00,14-03-2017 12:57,1,Lynx Point,0.61,44.61,7,1,0,1
ANSL_66383,19-07-2015 00:00,29-01-2017 15:48,1,Brown,0.28,21.36,0,1,0,2
ANSL_60540,19-04-2015 00:00,15-08-2017 17:50,1,White,0.63,8.62,1,4,0,2
ANSL_76561,08-01-2018 00:00,05-05-2019 19:07,1,Tricolor,0.78,44.76,0,1,0,2
ANSL_74375,01-06-2016 00:00,06-09-2018 16:45,0,Red,0.53,11.57,0,1,1,2
ANSL_63625,26-09-2018 00:00,01-12-2018 10:09,2,Black,0.18,48.75,0,0,0,1
ANSL_69663,10-07-2016 00:00,25-11-2016 08:54,1,Orange Tabby,0.74,30.17,7,1,0,1
ANSL_51060,22-09-2016 00:00,20-12-2017 13:58,0,White,0.05,49.06,0,1,1,4
ANSL_74968,15-08-2013 00:00,09-03-2017 13:15,0,Red,0.4,5.11,0,7,1,2
ANSL_55228,18-12-2015 00:00,12-07-2017 15:41,0,Tan,0.21,16.78,0,1,1,2
ANSL_67108,28-03-2013 00:00,22-04-2018 18:47,1,Black,0.8,7.25,0,1,0,2
ANSL_57613,11-09-2017 00:00,15-10-2018 17:36,0,White,0.33,16.69,0,1,1,2
ANSL_69384,01-02-2018 00:00,10-04-2018 14:22,2,Black,0.31,26.98,13,9,0,1
ANSL_51965,05-06-2017 00:00,27-06-2018 09:00,0,Orange Tabby,0.66,12.9,16,9,1,1
ANSL_76049,18-02-2015 00:00,24-04-2019 15:54,0,White,0.3,33.05,0,1,1,2
ANSL_60945,24-04-2016 00:00,18-07-2016 00:00,0,Black,0.52,42.06,0,1,1,2
ANSL_74561,02-02-2017 00:00,30-12-2017 18:06,1,Blue,0.07,5.34,0,1,0,2
ANSL_62773,07-03-2018 00:00,07-02-2019 12:18,1,Black,0.2,37.57,0,1,0,2
ANSL_57342,25-12-2011 00:00,05-03-2017 19:13,1,Brown Brindle,0.08,44.02,0,1,0,2
ANSL_66307,25-09-2018 00:00,19-01-2019 17:25,1,Brown,0.96,38.57,0,1,0,2
ANSL_52178,24-12-2018 00:00,12-03-2019 21:50,0,Brown Tabby,0.35,35.09,0,1,1,1
ANSL_65099,02-03-2012 00:00,22-03-2018 12:39,2,Black,0.21,35.18,13,9,0,2
ANSL_64108,23-05-2015 00:00,17-12-2016 18:14,0,Black,0.13,27.52,0,1,1,2
ANSL_65352,04-11-2015 00:00,26-09-2016 09:00,2,Brown Tabby,0.59,10.43,16,9,1,1
ANSL_55080,25-11-2016 00:00,17-01-2019 19:00,2,Fawn,0.08,19.38,0,1,0,2
ANSL_54064,08-09-2015 00:00,13-11-2017 17:07,1,Brown Brindle,0.7,21.49,0,1,0,2
ANSL_64333,06-04-2016 00:00,29-07-2016 17:52,1,Black,0.79,11.03,13,9,0,2
ANSL_73066,20-03-2013 00:00,28-04-2017 10:51,1,Black,0.76,38.98,0,1,0,2
ANSL_75565,04-02-2018 00:00,12-04-2019 15:31,1,Black,0.96,30.58,13,9,0,1
ANSL_75936,14-11-2018 00:00,21-04-2019 17:38,0,Chocolate,0.97,20.21,0,1,1,2
ANSL_63539,06-11-2016 00:00,06-12-2018 18:07,0,Tan,0.27,45.31,0,1,1,2
ANSL_71426,20-11-2016 00:00,22-12-2018 12:25,1,Orange Tabby,0.52,48.2,0,1,0,1
ANSL_58760,09-09-2015 00:00,12-10-2018 13:13,1,Brown Tabby,0.66,11.45,0,1,0,1
ANSL_54685,11-06-2018 00:00,11-10-2018 16:50,1,Orange Tabby,0.56,5.96,7,1,0,1
ANSL_56698,14-02-2015 00:00,10-03-2018 00:00,2,Sable,0.35,6.39,13,9,0,2
ANSL_63745,22-01-2017 00:00,23-09-2018 14:04,0,Blue,0.47,35.23,13,9,1,2
ANSL_50268,14-10-2014 00:00,09-11-2018 15:34,0,Black,0.4,18.24,0,1,1,2
ANSL_53061,10-12-2013 00:00,02-03-2017 18:59,1,Black,0.05,29.85,0,1,0,2
ANSL_61978,26-09-2013 00:00,18-10-2016 16:24,0,Brown,0.34,5.19,0,7,1,2
ANSL_66121,08-12-2012 00:00,01-01-2017 16:55,1,White,0.9,27.57,13,9,0,2
ANSL_74896,02-07-2014 00:00,22-07-2016 19:12,,Brown,0.87,23.74,15,4,2,4
ANSL_69176,31-05-2018 00:00,06-09-2018 16:41,0,Black,0.37,7.53,0,1,1,1
ANSL_60465,04-07-2016 00:00,26-07-2018 18:30,2,Red,0.22,20.43,18,4,1,4
ANSL_55538,10-10-2015 00:00,31-10-2016 09:00,2,Black,0.01,18.13,16,9,1,1
ANSL_66878,23-04-2017 00:00,19-07-2017 11:57,1,Tan,0.81,13.98,0,1,0,2
ANSL_57877,09-01-2017 00:00,30-01-2019 11:43,,Black,0.17,18.28,15,4,2,1
ANSL_53756,02-05-2015 00:00,21-06-2017 10:55,0,Calico,0.6,34.85,0,1,1,1
ANSL_53855,21-08-2016 00:00,02-12-2016 11:39,0,Tortie,0.54,42.7,0,1,1,1
ANSL_74385,08-03-2010 00:00,25-03-2019 17:31,0,Black,0.5,29.8,0,1,1,2
ANSL_66022,04-12-2016 00:00,24-06-2017 17:11,,Brown,0.01,15.47,15,4,2,4
ANSL_76474,04-10-2017 00:00,04-05-2019 11:29,1,Brown,0.96,7.18,0,7,0,2
ANSL_70919,10-05-2016 00:00,03-06-2018 12:01,0,Brown,0.85,41.18,0,1,1,2
ANSL_65053,09-12-2017 00:00,30-08-2018 13:03,2,Sable,0.47,35.48,0,1,0,2
ANSL_61211,25-02-2018 00:00,21-05-2018 18:13,0,Tortie,0.32,12.03,0,1,1,1
ANSL_50575,17-06-2016 00:00,29-07-2016 13:46,,Black,0.45,31.25,18,4,2,1
ANSL_53139,28-06-2017 00:00,22-07-2018 18:18,0,Blue,0.73,33.88,0,1,1,2
ANSL_76280,05-04-2016 00:00,29-04-2019 15:47,1,Black,0.94,30.68,0,7,0,2
ANSL_70307,03-02-2002 00:00,24-02-2018 14:06,0,Chocolate,0.39,30.81,0,7,1,2
ANSL_53594,22-03-2017 00:00,17-04-2018 19:14,1,Black,0.2,47.02,0,1,0,2
ANSL_52901,02-10-2008 00:00,14-02-2018 13:43,1,Brown Tabby,0.19,32.03,0,7,0,1
ANSL_51318,30-10-2015 00:00,08-12-2016 14:24,0,Blue Tabby,0.01,29.71,0,1,1,1
ANSL_66979,10-10-2016 00:00,17-01-2017 14:23,2,Blue,0.12,12.24,13,9,0,1
ANSL_54706,14-08-2012 00:00,05-09-2016 09:00,0,Tortie,0.2,30.77,16,9,1,1
ANSL_53861,23-06-2016 00:00,17-07-2018 19:42,0,Seal Point,0.02,9.84,13,9,1,1
ANSL_55096,23-08-2016 00:00,12-11-2016 17:56,1,Yellow,0.77,10.85,7,1,0,2
ANSL_66706,29-10-2017 00:00,18-12-2017 11:41,2,Black,0.04,39.29,13,9,1,1
ANSL_56381,05-05-2016 00:00,01-06-2017 15:56,2,Brown Tabby,0.2,21.83,16,9,1,1
ANSL_57162,02-06-2018 00:00,03-03-2019 16:13,1,Red,0.35,32.34,0,1,0,2
ANSL_63638,29-03-2014 00:00,03-07-2017 17:35,1,White,0.18,12.89,1,4,0,2
ANSL_55836,08-12-2017 00:00,04-01-2019 17:42,0,Black,0.12,47.74,0,1,1,2
ANSL_61002,01-08-2014 00:00,17-11-2016 12:02,0,Brown,0.19,48.66,0,1,1,2
ANSL_74359,30-01-2006 00:00,21-02-2017 17:42,1,Orange Tabby,0.2,43.45,0,7,0,1
ANSL_54933,19-12-2009 00:00,02-02-2017 18:26,0,Black,0.13,34.38,0,7,1,2
ANSL_65787,26-12-2015 00:00,26-01-2017 12:26,0,Tan,0.36,20.01,0,1,1,2
ANSL_56763,31-03-2017 00:00,02-05-2018 18:50,0,Brown Brindle,0.09,31.81,0,1,1,2
ANSL_75035,09-07-2017 00:00,15-08-2017 13:17,2,Calico,0.92,5.45,13,9,1,1
ANSL_74395,11-10-2016 00:00,27-12-2016 09:28,2,Sable,0.24,35.69,13,9,0,2
ANSL_55013,16-02-2017 00:00,11-03-2018 18:24,1,Black,0.68,18.54,0,1,0,2
ANSL_69621,19-08-2016 00:00,03-12-2016 19:43,0,White,0.25,17.61,0,1,1,2
ANSL_74017,25-06-2014 00:00,20-07-2017 14:47,1,Black,0.15,31.84,0,1,0,2
ANSL_65573,10-04-2016 00:00,10-12-2016 11:56,0,Buff,0.31,43.18,13,9,1,2
ANSL_56059,13-07-2014 00:00,08-08-2017 13:50,1,Tricolor,0.14,8.06,13,9,0,2
ANSL_56349,22-08-2017 00:00,01-10-2018 18:23,1,Black,0.11,23.94,0,7,0,2
ANSL_63290,13-11-2013 00:00,11-01-2018 16:21,0,Black,0.55,7.25,13,9,1,1
ANSL_65752,30-07-2016 00:00,18-11-2016 13:15,0,Black,0.36,29.69,7,1,1,1
ANSL_56902,04-09-2018 00:00,21-10-2018 18:03,2,Torbie,0.02,33.65,13,9,1,1
ANSL_65365,05-06-2017 00:00,27-06-2018 08:39,,Brown,0.76,27,15,4,2,4
ANSL_55061,17-04-2015 00:00,18-02-2018 14:58,1,Sable,0.46,12.44,0,1,0,2
ANSL_54698,06-08-2015 00:00,06-04-2017 15:45,0,Black,0.93,30.38,0,1,1,2
ANSL_71635,23-06-2010 00:00,15-01-2017 18:29,1,Tricolor,0.98,44.25,0,7,0,2
ANSL_65386,06-04-2018 00:00,10-07-2018 18:34,1,Tan,0.55,12.95,0,1,0,2
ANSL_57697,17-09-2011 00:00,14-11-2016 07:25,1,Tan,0.41,30.85,7,1,0,2
ANSL_55517,09-06-2015 00:00,30-06-2017 17:35,,Brown,0.4,22.46,0,3,2,4
ANSL_73224,24-08-2011 00:00,20-09-2016 16:16,1,Tricolor,0.53,30.74,13,9,0,2
ANSL_68142,22-12-2015 00:00,11-10-2016 16:14,0,Black,0.42,20.58,13,9,1,2
ANSL_69207,01-12-2016 00:00,20-03-2017 12:41,2,White,0.74,21.03,15,4,1,2
ANSL_56153,20-12-2016 00:00,22-03-2017 15:05,0,Torbie,0.72,26.25,7,1,1,1
ANSL_72425,14-09-2016 00:00,13-12-2017 15:26,1,Blue Tiger,0.24,12.06,0,1,0,2
ANSL_66663,20-10-2015 00:00,18-06-2018 17:24,0,Black,0.14,19.71,0,7,1,2
ANSL_51589,20-03-2017 00:00,23-02-2018 16:29,1,Brown,0.13,29.53,0,1,0,2
ANSL_52370,26-07-2018 00:00,05-12-2018 17:16,0,Tan,0.18,44.07,0,1,1,2
ANSL_61291,17-06-2017 00:00,10-07-2018 18:14,0,Black,0.64,35.11,0,7,1,2
ANSL_57530,20-10-2009 00:00,01-01-2018 14:48,1,Brown,0.61,15.81,13,9,0,2
ANSL_70771,11-07-2017 00:00,31-08-2017 15:55,2,Brown Tabby,0.9,32.11,13,9,1,1
ANSL_61396,05-01-2004 00:00,11-02-2017 14:43,1,Tan,0.57,42.58,0,7,0,2
ANSL_58151,25-08-2011 00:00,15-09-2017 18:09,2,Brown Brindle,0.8,23.7,18,4,0,2
ANSL_73125,26-07-2013 00:00,20-08-2016 17:36,0,Buff,0.32,39.71,13,9,1,2
ANSL_51778,02-11-2015 00:00,23-11-2017 16:44,2,Black,0.04,49.22,13,9,1,1
ANSL_50618,09-03-2017 00:00,28-03-2018 09:00,2,Blue Tabby,0.85,44.81,16,9,0,1
ANSL_56503,09-01-2012 00:00,03-02-2019 18:51,0,White,0.4,42.65,0,1,1,2
ANSL_61220,25-08-2016 00:00,30-11-2016 15:46,1,Black,0.24,26.22,0,1,0,1
ANSL_71857,31-01-2016 00:00,25-08-2016 00:00,2,White,0.76,43.53,13,9,0,2
ANSL_61193,28-08-2018 00:00,15-10-2018 14:35,2,White,0.44,27.93,13,9,0,1
ANSL_51316,16-12-2013 00:00,27-12-2016 14:10,1,Brown Brindle,0.08,33.57,0,1,0,2
ANSL_68013,23-05-2017 00:00,17-01-2019 15:57,1,Blue,0.9,47.23,0,1,0,1
ANSL_74804,21-04-2009 00:00,21-05-2018 14:33,0,Red,0.86,12.84,7,1,1,2
ANSL_67491,14-09-2016 00:00,21-11-2016 17:37,2,Blue,0.8,10.24,13,9,0,2
ANSL_73052,23-05-2017 00:00,17-08-2017 18:00,2,Calico,0.54,13.71,0,1,1,1
ANSL_62618,15-10-2016 00:00,11-01-2017 12:10,0,Black,0.97,43.94,13,9,1,1
ANSL_75311,22-01-2014 00:00,22-02-2015 18:06,1,Blue,0.94,40.53,0,1,0,2
ANSL_71484,17-04-2017 00:00,03-06-2017 18:27,2,Black Tabby,0.54,17.43,13,9,0,1
ANSL_73929,22-03-2017 00:00,01-11-2017 18:32,1,Tan,0.11,31.97,0,1,0,2
ANSL_71053,23-05-2016 00:00,08-04-2017 19:09,0,Brown,0.04,28.39,0,1,1,2
ANSL_61186,08-07-2017 00:00,30-05-2018 18:26,1,Black,0.35,16.49,0,1,0,2
ANSL_59948,07-08-2010 00:00,01-09-2017 11:36,0,Tricolor,0.98,24.62,13,9,1,2
ANSL_75195,12-04-2009 00:00,15-05-2018 16:12,1,Black,0.8,9.69,0,1,0,2
ANSL_55823,19-03-2013 00:00,12-10-2016 16:14,1,White,0.27,21.88,7,1,0,2
ANSL_74230,06-12-2017 00:00,19-01-2018 17:48,2,Black,0.53,7.59,13,9,0,1
ANSL_53907,28-06-2018 00:00,25-07-2018 17:05,,Calico,0.74,45.94,13,9,2,1
ANSL_55019,29-12-2018 00:00,26-03-2019 15:21,1,Chocolate,0.33,25.18,0,1,0,2
ANSL_51787,26-12-2010 00:00,17-01-2017 14:23,0,Tortie Point,0.49,16.98,13,9,1,1
ANSL_75117,19-03-2016 00:00,09-02-2017 16:31,0,Brown,0.58,11.33,0,1,1,2
ANSL_68721,01-07-2018 00:00,21-01-2019 19:08,2,Tricolor,0.71,21.35,0,7,0,2
ANSL_60689,10-07-2017 00:00,31-07-2018 08:45,,Brown,0.75,49.9,15,4,2,4
ANSL_50819,02-04-2017 00:00,28-04-2018 12:12,1,Tan,0.34,26.48,13,9,0,2
ANSL_75879,27-12-2017 00:00,27-03-2019 13:33,0,Brown Tabby,0.95,19.57,0,1,1,1
ANSL_76138,16-02-2019 00:00,24-04-2019 16:01,2,Sable,0.01,17.47,13,9,1,2
ANSL_58460,28-01-2018 00:00,05-03-2018 16:02,,Black,0.56,16.06,13,9,2,1
ANSL_65672,27-09-2016 00:00,22-10-2018 15:10,0,Black,0.81,46.76,0,1,1,1
ANSL_66398,07-12-2017 00:00,27-03-2018 13:46,1,Brown Tabby,0.6,34.61,0,1,0,1
ANSL_74656,03-03-2018 00:00,25-03-2019 19:24,2,Brown Tabby,0.02,21.69,17,9,1,1
ANSL_73987,06-06-2017 00:00,01-09-2017 16:17,2,Tan,0.73,10.58,13,9,0,2
ANSL_59529,23-05-2017 00:00,21-12-2017 08:38,0,Tan,0.95,23.73,7,1,1,2
ANSL_62477,23-01-2016 00:00,13-02-2018 10:32,,Black,0.92,18.65,18,4,2,4
ANSL_57993,24-08-2017 00:00,23-03-2018 17:33,0,Black,0.27,39.68,0,1,1,2
ANSL_63912,07-07-2018 00:00,17-11-2018 17:08,2,Brown Tabby,0.67,41.04,17,9,1,1
ANSL_72724,01-11-2010 00:00,11-12-2016 12:42,1,White,0.99,6.45,13,9,0,1
ANSL_54573,02-08-2016 00:00,05-12-2016 09:54,1,Orange Tabby,0.69,17.96,12,1,0,1
ANSL_66670,23-06-2017 00:00,17-01-2018 18:44,1,Tan,0.52,5.96,0,1,0,2
ANSL_56863,01-11-2016 00:00,13-01-2017 12:59,2,Orange Tabby,0.94,6.08,0,1,0,1
ANSL_75611,08-01-2019 00:00,13-04-2019 17:10,1,Tan,0.74,5.02,0,1,0,2
ANSL_76201,28-03-2017 00:00,27-04-2019 16:26,0,Tan,0.93,33.07,0,1,1,2
ANSL_65774,09-06-2017 00:00,17-12-2018 14:14,1,White,0.92,16.64,13,9,0,2
ANSL_70680,17-02-2017 00:00,11-05-2017 17:29,1,Red,0.65,8.02,0,1,0,2
ANSL_73163,25-01-2018 00:00,20-05-2018 13:49,0,Gray Tabby,0.04,28.86,0,1,1,1
ANSL_70054,31-08-2016 00:00,09-12-2016 13:23,2,Blue,0.42,11.84,0,1,1,1
ANSL_55342,06-07-2016 00:00,28-10-2016 19:39,0,Brown Tabby,0.39,17.19,7,1,1,1
ANSL_76193,20-10-2018 00:00,16-01-2019 17:09,2,White,0.03,14.58,0,1,1,2
ANSL_58441,07-02-2013 00:00,13-05-2017 14:29,0,Black,0.79,10.56,0,7,1,2
ANSL_76118,15-11-2017 00:00,25-04-2019 15:37,0,Brown Tabby,0.81,46.83,13,9,1,1
ANSL_74237,26-10-2012 00:00,20-11-2017 14:10,1,Red,0.49,16.69,0,7,0,2
ANSL_73638,21-05-2016 00:00,28-02-2017 14:41,1,Gold,0.63,45.05,0,1,0,2
